agent0;agent1;C;N;N_BATTLES;MY_EXPANSION;OPP_EXPANSION;HEURISTIC_COND1;HEURISTIC_COND2_1;HEURISTIC_COND2_2;winrate;avg_n_turns;avg_n_switches;avg_hp_residue
MCTS;Random;1.35;100;50;3;3;0.1;1.5;0.04;66.0;11.0;1.6;35.82
MCTS;Random;1.4;100;50;3;3;0.1;1.5;0.04;64.0;12.06;2.0;27.79
MCTS;Random;1.45;100;50;3;3;0.1;1.5;0.04;80.0;11.16;1.14;35.66
MCTS;Random;1.5;100;50;3;3;0.1;1.5;0.04;68.0;12.0;2.08;33.89
MCTS;Random;1.55;100;50;3;3;0.1;1.5;0.04;50.0;14.06;2.72;18.91
MCTS;Random;1.6;100;50;3;3;0.1;1.5;0.04;68.0;10.12;1.22;32.44
MCTS;Random;1.35;100;50;3;3;0.05;1.5;0.04;64.0;11.94;1.54;29.27
MCTS;Random;1.4;100;50;3;3;0.05;1.5;0.04;64.0;10.86;1.78;31.11
MCTS;Random;1.45;100;50;3;3;0.05;1.5;0.04;70.0;11.56;1.96;26.69
MCTS;Random;1.5;100;50;3;3;0.05;1.5;0.04;70.0;11.7;1.7;33.9
MCTS;Random;1.55;100;50;3;3;0.05;1.5;0.04;70.0;10.84;1.16;34.61
MCTS;Random;1.6;100;50;3;3;0.05;1.5;0.04;60.0;12.1;2.18;26.14
MCTS;Random;1.35;100;50;3;3;0.1;2.0;0.04;62.0;11.86;1.82;25.26
MCTS;Random;1.4;100;50;3;3;0.1;2.0;0.04;66.0;10.6;1.38;33.47
MCTS;Random;1.45;100;50;3;3;0.1;2.0;0.04;52.0;12.3;1.9;25.25
MCTS;Random;1.5;100;50;3;3;0.1;2.0;0.04;70.0;10.48;1.58;31.07
MCTS;Random;1.55;100;50;3;3;0.1;2.0;0.04;58.0;12.5;2.04;30.15
MCTS;Random;1.6;100;50;3;3;0.1;2.0;0.04;74.0;10.46;1.22;30.57
MCTS;Random;1.35;100;50;3;3;0.05;2.0;0.04;66.0;11.38;1.9;34.06
MCTS;Random;1.4;100;50;3;3;0.05;2.0;0.04;72.0;11.54;1.68;32.96
MCTS;Random;1.45;100;50;3;3;0.05;2.0;0.04;52.0;13.84;2.68;19.12
MCTS;Random;1.5;100;50;3;3;0.05;2.0;0.04;62.0;11.84;1.66;28.62
MCTS;Random;1.55;100;50;3;3;0.05;2.0;0.04;70.0;12.36;1.52;36.01
MCTS;Random;1.6;100;50;3;3;0.05;2.0;0.04;60.0;12.64;1.96;27.28
MCTS;Random;1.35;100;50;3;3;0.1;1.5;0.02;64.0;12.4;2.16;25.66
MCTS;Random;1.4;100;50;3;3;0.1;1.5;0.02;70.0;10.5;1.7;34.19
MCTS;Random;1.45;100;50;3;3;0.1;1.5;0.02;54.0;11.34;1.46;24.88
MCTS;Random;1.5;100;50;3;3;0.1;1.5;0.02;70.0;12.2;1.7;31.88
MCTS;Random;1.55;100;50;3;3;0.1;1.5;0.02;70.0;11.84;1.38;38.38
MCTS;Random;1.6;100;50;3;3;0.1;1.5;0.02;60.0;11.46;1.92;24.63
MCTS;Random;1.35;100;50;3;3;0.05;1.5;0.02;78.0;11.96;1.66;36.32
MCTS;Random;1.4;100;50;3;3;0.05;1.5;0.02;64.0;12.54;2.14;22.5
MCTS;Random;1.45;100;50;3;3;0.05;1.5;0.02;70.0;11.32;1.64;28.87
MCTS;Random;1.5;100;50;3;3;0.05;1.5;0.02;74.0;11.94;1.74;32.94
MCTS;Random;1.55;100;50;3;3;0.05;1.5;0.02;58.0;11.8;1.38;25.95
MCTS;Random;1.6;100;50;3;3;0.05;1.5;0.02;72.0;12.08;1.54;34.37
MCTS;Random;1.35;100;50;3;3;0.1;2.0;0.02;56.0;11.34;1.56;27.0
MCTS;Random;1.4;100;50;3;3;0.1;2.0;0.02;70.0;10.76;1.42;30.26
MCTS;Random;1.45;100;50;3;3;0.1;2.0;0.02;72.0;11.24;1.92;31.61
MCTS;Random;1.5;100;50;3;3;0.1;2.0;0.02;72.0;11.24;1.18;34.76
MCTS;Random;1.55;100;50;3;3;0.1;2.0;0.02;62.0;10.54;1.3;32.0
MCTS;Random;1.6;100;50;3;3;0.1;2.0;0.02;62.0;10.9;1.22;28.12
MCTS;Random;1.35;100;50;3;3;0.05;2.0;0.02;58.0;11.62;1.5;28.59
MCTS;Random;1.4;100;50;3;3;0.05;2.0;0.02;58.0;11.54;1.54;27.15
MCTS;Random;1.45;100;50;3;3;0.05;2.0;0.02;58.0;11.62;1.84;26.79
MCTS;Random;1.5;100;50;3;3;0.05;2.0;0.02;60.0;10.98;1.5;28.87
MCTS;Random;1.55;100;50;3;3;0.05;2.0;0.02;66.0;11.18;1.96;28.81
MCTS;Random;1.6;100;50;3;3;0.05;2.0;0.02;52.0;10.72;1.68;25.02
