agent0;agent1;C;N;N_BATTLES;MY_EXPANSION;OPP_EXPANSION;HEURISTIC_COND1;HEURISTIC_COND2_1;HEURISTIC_COND2_2;winrate;avg_n_turns;avg_n_switches;avg_hp_residue
MCTS;Random;1.35;100;50;2;2;0.1;1.5;0.04;58.0;11.96;2.16;24.0
MCTS;Random;1.4;100;50;2;2;0.1;1.5;0.04;72.0;11.6;1.38;32.47
MCTS;Random;1.45;100;50;2;2;0.1;1.5;0.04;58.0;12.2;1.84;24.52
MCTS;Random;1.5;100;50;2;2;0.1;1.5;0.04;58.0;11.6;1.88;25.72
MCTS;Random;1.55;100;50;2;2;0.1;1.5;0.04;64.0;12.08;1.46;31.6
MCTS;Random;1.6;100;50;2;2;0.1;1.5;0.04;74.0;10.9;1.58;37.89
MCTS;Random;1.35;100;50;2;2;0.05;1.5;0.04;68.0;11.48;1.8;31.53
MCTS;Random;1.4;100;50;2;2;0.05;1.5;0.04;58.0;9.66;1.66;27.67
MCTS;Random;1.45;100;50;2;2;0.05;1.5;0.04;52.0;12.0;2.0;24.45
MCTS;Random;1.5;100;50;2;2;0.05;1.5;0.04;72.0;10.78;1.78;30.92
MCTS;Random;1.55;100;50;2;2;0.05;1.5;0.04;66.0;12.4;1.6;31.16
MCTS;Random;1.6;100;50;2;2;0.05;1.5;0.04;50.0;12.08;2.08;24.72
MCTS;Random;1.35;100;50;2;2;0.1;2.0;0.04;76.0;11.78;1.52;32.26
MCTS;Random;1.4;100;50;2;2;0.1;2.0;0.04;64.0;10.5;1.48;32.82
MCTS;Random;1.45;100;50;2;2;0.1;2.0;0.04;62.0;12.58;1.86;24.31
MCTS;Random;1.5;100;50;2;2;0.1;2.0;0.04;68.0;11.38;1.78;33.46
MCTS;Random;1.55;100;50;2;2;0.1;2.0;0.04;60.0;10.5;1.02;28.1
MCTS;Random;1.6;100;50;2;2;0.1;2.0;0.04;62.0;10.84;1.6;24.2
MCTS;Random;1.35;100;50;2;2;0.05;2.0;0.04;60.0;13.2;1.84;25.66
MCTS;Random;1.4;100;50;2;2;0.05;2.0;0.04;72.0;11.38;1.66;31.33
MCTS;Random;1.45;100;50;2;2;0.05;2.0;0.04;44.0;12.08;1.96;20.43
MCTS;Random;1.5;100;50;2;2;0.05;2.0;0.04;50.0;12.34;2.28;21.89
MCTS;Random;1.55;100;50;2;2;0.05;2.0;0.04;62.0;11.12;1.5;34.03
MCTS;Random;1.6;100;50;2;2;0.05;2.0;0.04;54.0;12.38;1.7;17.08
MCTS;Random;1.35;100;50;2;2;0.1;1.5;0.02;52.0;12.58;2.26;23.37
MCTS;Random;1.4;100;50;2;2;0.1;1.5;0.02;74.0;10.8;1.42;36.82
MCTS;Random;1.45;100;50;2;2;0.1;1.5;0.02;64.0;11.62;1.68;33.12
MCTS;Random;1.5;100;50;2;2;0.1;1.5;0.02;62.0;11.14;1.54;29.67
MCTS;Random;1.55;100;50;2;2;0.1;1.5;0.02;48.0;11.64;2.02;19.98
MCTS;Random;1.6;100;50;2;2;0.1;1.5;0.02;52.0;11.22;2.28;22.79
MCTS;Random;1.35;100;50;2;2;0.05;1.5;0.02;66.0;12.2;1.96;25.74
MCTS;Random;1.4;100;50;2;2;0.05;1.5;0.02;58.0;12.02;2.12;26.5
MCTS;Random;1.45;100;50;2;2;0.05;1.5;0.02;64.0;11.64;1.72;27.57
MCTS;Random;1.5;100;50;2;2;0.05;1.5;0.02;62.0;11.46;2.06;28.65
MCTS;Random;1.55;100;50;2;2;0.05;1.5;0.02;60.0;10.74;1.9;29.23
MCTS;Random;1.6;100;50;2;2;0.05;1.5;0.02;54.0;11.7;1.84;20.76
MCTS;Random;1.35;100;50;2;2;0.1;2.0;0.02;62.0;11.04;2.1;19.67
MCTS;Random;1.4;100;50;2;2;0.1;2.0;0.02;62.0;10.5;1.42;23.21
MCTS;Random;1.45;100;50;2;2;0.1;2.0;0.02;56.0;12.78;2.5;23.68
MCTS;Random;1.5;100;50;2;2;0.1;2.0;0.02;62.0;10.7;1.3;25.18
MCTS;Random;1.55;100;50;2;2;0.1;2.0;0.02;72.0;11.78;2.68;30.9
MCTS;Random;1.6;100;50;2;2;0.1;2.0;0.02;70.0;11.02;1.76;26.52
MCTS;Random;1.35;100;50;2;2;0.05;2.0;0.02;66.0;12.04;1.74;26.86
MCTS;Random;1.4;100;50;2;2;0.05;2.0;0.02;66.0;12.06;2.36;27.67
MCTS;Random;1.45;100;50;2;2;0.05;2.0;0.02;60.0;11.8;2.24;28.0
MCTS;Random;1.5;100;50;2;2;0.05;2.0;0.02;46.0;11.8;2.12;18.5
MCTS;Random;1.55;100;50;2;2;0.05;2.0;0.02;70.0;13.06;3.2;26.65
MCTS;Random;1.6;100;50;2;2;0.05;2.0;0.02;48.0;12.2;2.44;25.63
