agent0;agent1;N_BATTLES;winrate;avg_n_turns;avg_n_switches;avg_hp_residue
Logic;Logic;100;73.0;9.96;8.52;41.5
Logic;Logic;300;68.33;9.67;8.5;36.47
Logic;Random;100;73.0;11.41;1.04;32.38
Logic;Random;300;72.67;10.66;0.73;36.77
