agent0;agent1;N_BATTLES;SWITCH_TRESHOLD;LIFE_VALUE;winrate;avg_n_turns;avg_n_switches;avg_hp_residue
MiniMax;Random;100;5000;300;47.0;14.13;0.64;21.38
MiniMax;Random;300;5000;300;44.67;13.04;0.9;20.41
MiniMax;Logic;100;5000;300;67.0;14.28;0.41;38.89
MiniMax;Logic;300;5000;300;69.0;15.85;0.57;40.29
MiniMax;Combined;100;5000;300;31.0;12.14;1.2;12.17
MiniMax;Combined;300;5000;300;29.67;12.98;1.33;11.92
MiniMax;MiniMax;100;5000;300;31.0;14.27;0.73;13.89
MiniMax;MiniMax;300;5000;300;42.0;13.54;0.55;17.74
